iShares Russell 3000 ETF
Fund Holdings as of,"Feb 02, 2024"
Inception Date,"May 22, 2000"
Shares Outstanding,"46,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MCO","MOODYS CORP","Financials","Equity","17,166,416.40","0.13","17,166,416.40","42,959.00","399.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM CORP","Energy","Equity","17,119,348.92","0.13","17,119,348.92","102,924.00","166.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","17,057,951.40","0.13","17,057,951.40","61,630.00","276.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","16,790,473.92","0.13","16,790,473.92","16,032.00","1,047.31","United States","NASDAQ","USD","1.00","USD","Jan 01, 1970"
"HCA","HCA HEALTHCARE INC","Health Care","Equity","16,692,899.58","0.13","16,692,899.58","53,949.00","309.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","16,329,402.18","0.13","16,329,402.18","157,833.00","103.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Consumer Discretionary","Equity","16,197,284.48","0.12","16,197,284.48","66,079.00","245.12","United States","NASDAQ","USD","1.00","USD","-"
"TDG","TRANSDIGM GROUP INC","Industrials","Equity","16,151,802.48","0.12","16,151,802.48","14,373.00","1,123.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KKR","KKR AND CO INC","Financials","Equity","16,104,916.56","0.12","16,104,916.56","179,903.00","89.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABNB","AIRBNB INC CLASS A","Consumer Discretionary","Equity","16,069,207.50","0.12","16,069,207.50","109,650.00","146.55","United States","NASDAQ","USD","1.00","USD","-"
"WDAY","WORKDAY INC CLASS A","Information Technology","Equity","16,041,813.98","0.12","16,041,813.98","54,427.00","294.74","United States","NASDAQ","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","15,976,561.15","0.12","15,976,561.15","107,855.00","148.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AON","AON PLC CLASS A","Financials","Equity","15,715,622.80","0.12","15,715,622.80","53,747.00","292.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
